事業所コード,事業所名,営業区分,提供商品,提供日,,献立表料理名,価格メモ,提供価格,,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2023/1/10,,竹輪のきんぴら,,200,,本登録,通常レシピ,マイレシピ,その他１,炒物,魚以外の魚介・練り製品,醤油,その他,,,和,,エコ,,123.651,5.403,4.025,17.271,1.7,,,,,,,,○,,○,,,CTM/attachment/20160421180000671f4fe4fe6-9ca7-4321-8b44-5bd6871cf202/19000000-35
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2023/1/11,,スパゲティサラダ,,200,,本登録,通常レシピ,マイレシピ,その他２,サラダ,加工ミンチ製品,マヨネーズ,その他,,,設定なし,,設定なし,,162.17,4.74,6.688,21.201,0.426,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2023/1/12,,つくねの蒲焼き,,200,,本登録,通常レシピ,マイレシピ,肉メイン１,焼物,肉（鶏）,醤油,,,設定なし,和,,設定なし,,143.175,7.961,5.493,15.341,1.682,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2023/1/10,,ゆで玉子,,200,,本登録,通常レシピ,マイレシピ,その他１,その他,卵・卵製品,,,,,,,,,151,12.3,10.3,0.3,0.4,,,,,,,,,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2023/1/11,,野菜オムレツ,,200,,本登録,通常レシピ,マイレシピ,その他１,蒸物,卵・卵製品,設定なし,,,設定なし,洋,,設定なし,,149.78,8.066,11.246,3.776,0.634,,,,,,,,,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2023/1/12,,玉子ロール,,200,,本登録,通常レシピ,マイレシピ,その他１,蒸物,卵・卵製品,,,,,,,,,88.2,5.21,3.8,8.42,0.99,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/1/10,,タンドリーチキン,,200,,本登録,通常レシピ,マイレシピ,その他１,焼物,肉（鶏）,その他,カレー,,設定なし,その他,,設定なし,,213.988,18.262,15.4,1.813,0.866,,,,,,,,,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/1/11,,白身魚（ホキ）の西京味噌焼き,,200,,本登録,通常レシピ,マイレシピ,その他１,焼物,肉（鶏）,塩,香草・しそ,,,洋,,設定なし,,97.3,16.27,1.47,3.79,1.742,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/1/12,,豆腐野菜煮,,200,,本登録,通常レシピ,マイレシピ,その他１,和え物・酢の物,豆・豆製品,酢・ドレ,その他,,,和,,,,53,3.92,2.18,4.91,1.27,,,,,,,,○,,,,,CTM/attachment/201604191819129867669562c-0944-4356-989e-9f2904ea0f25/06666666-7
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/1/13,,白身魚（タラ）フライ,,200,,本登録,通常レシピ,マイレシピ,その他１,揚物,魚,設定なし,,,,設定なし,,設定なし,,274.1,12.8,12,27,0.7,,,,,,,,○,,,,,
