事業所コード,事業所名,営業区分,提供商品,提供日,,献立表料理名,価格メモ,提供価格,,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2023/11/6,,ハムカツ,,200,,本登録,通常レシピ,マイレシピ,温小鉢,揚物,肉（その他）,設定なし,その他,,設定なし,,,設定なし,,112.84,3.56,5.44,12.2,0.6,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2023/11/7,,鶏つくね,,200,,本登録,通常レシピ,マイレシピ,ご飯もの,丼物・ごはんもの,肉（鶏）,醤油,その他,,,和,,,,99.75,6.12,2.52,12.555,1.62,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2023/11/8,,小松菜ソテー,,200,,本登録,通常レシピ,マイレシピ,温小鉢,焼物,野菜,,,,,,,,,134.226,3.006,11.302,6.847,0.672,,,,,,,,,,○,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2023/11/9,,蓮根とごぼうの味噌煮,,200,,本登録,通常レシピ,マイレシピ,温小鉢,炒物,野菜,味噌,その他,冬,設定なし,和,,,,97.808,2.588,1.157,20.565,1.006,,,,,,,,,,,,,CTM/attachment/20160216102618316b98cf4fc-c9bf-46d4-8a4e-6bfb10269e16/00140041-4
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2023/11/10,,高野豆腐の煮物,,200,,本登録,通常レシピ,マイレシピ,その他２,煮物,豆・豆製品,その他,その他,,,和,,,,92.988,7.171,3.508,8.437,1.221,,,,,,,,○,,,,,CTM/attachment/201604171953233603bc95272-9f58-4019-9298-ab37897d7512/02222222-31
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2023/11/6,,目玉焼き,,200,,本登録,通常レシピ,マイレシピ,ガロニ１,焼物,卵・卵製品,設定なし,,,,,,,,85.083,6.155,6.153,0.232,0.2,,,,,,,,,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2023/11/7,,野菜オムレツ,,200,,本登録,通常レシピ,マイレシピ,その他１,蒸物,卵・卵製品,設定なし,,,設定なし,洋,,設定なし,,163.88,7.046,10.265,11.516,1.523,,,,,,,,,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2023/11/8,,千草卵焼,,200,,本登録,通常レシピ,マイレシピ,その他１,蒸物,卵・卵製品,設定なし,,,設定なし,洋,,設定なし,,78.17,6.151,4.685,2.352,0.832,,,,,,,,,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2023/11/9,,玉子ロール,,200,,本登録,通常レシピ,マイレシピ,その他１,蒸物,卵・卵製品,,,,,,,,,55.27,3.186,2.31,5.442,0.704,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2023/11/10,,厚焼玉子,,200,,本登録,通常レシピ,マイレシピ,その他１,焼物,卵・卵製品,設定なし,,,,,,,,122.8,5.02,4.8,14.82,2.02,,,,,,,,○,,○,,,
