事業所コード,事業所名,営業区分,提供商品,提供日,,献立表料理名,価格メモ,提供価格,,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2023/4/10,,切り昆布と半平の煮物,,200,,本登録,通常レシピ,マイレシピ,温小鉢,煮物,海藻・きのこ,その他,その他,,設定なし,和,,設定なし,,84.78,4.328,1.22,18.167,1.807,,,,,,,,○,,,,,CTM/attachment/20160411165142725498cf8a3-8ccb-4544-939e-50b184db0255/02150302-1
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2023/4/11,,シューマイ,,200,,本登録,通常レシピ,マイレシピ,その他２,蒸物,肉（その他）,設定なし,その他,,,中華,,,,80.22,3.402,3.486,8.778,0.672,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2023/4/12,,厚揚げと野菜の含め煮,,200,,本登録,通常レシピ,マイレシピ,温小鉢,煮物,豆・豆製品,その他,その他,,,和,,,,92.64,4.112,6.454,5.554,0.998,,,,,,,,○,,,,,CTM/attachment/2016041113462426285bf4c93-619a-4094-8ff6-fe59ab9857c7/02070025-1
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2023/4/13,,肉団子,,200,,本登録,通常レシピ,マイレシピ,その他１,その他,肉（その他）,酢・ドレ,その他,,設定なし,中華,,設定なし,,92.7,5.37,2.4,12.48,0.9,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2023/4/14,,ソーセージ,,200,,本登録,通常レシピ,マイレシピ,その他１,蒸物,肉（豚）,,,,,,,設定なし,,151.77,8.151,10.44,6.402,1.239,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2023/4/10,,玉子ロール,,200,,本登録,通常レシピ,マイレシピ,その他１,蒸物,卵・卵製品,,,,,,,,,55.27,3.186,2.31,5.442,0.704,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2023/4/11,,千草卵焼,,200,,本登録,通常レシピ,マイレシピ,その他１,蒸物,卵・卵製品,設定なし,,,設定なし,洋,,設定なし,,78.17,6.151,4.685,2.352,0.832,,,,,,,,,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2023/4/12,,温泉玉子,,200,,本登録,通常レシピ,マイレシピ,その他１,蒸物,卵・卵製品,設定なし,,,,,,,,95.73,7.932,6.205,0.825,0.606,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2023/4/13,,ほうれん草オムレツ,,200,,本登録,通常レシピ,マイレシピ,その他１,蒸物,卵・卵製品,設定なし,,,設定なし,洋,,設定なし,,68.55,5.657,4.166,1.618,0.713,,,,,,,,,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2023/4/14,,ゆで玉子,,200,,本登録,通常レシピ,マイレシピ,その他１,その他,卵・卵製品,,,,,,,,,90.6,7.38,6.18,0.18,1.231,,,,,,,,,,○,,,
